iter	Passed	Remaining
0	52	5235
1	54	2646
2	54	1768
3	55	1321
4	55	1055
5	55	876
6	56	746
7	56	648
8	56	573
9	56	512
10	57	463
11	57	423
12	57	387
13	58	358
14	58	331
15	58	308
16	59	288
17	59	270
18	59	253
19	59	238
20	60	226
21	60	214
22	60	203
23	61	193
24	61	183
25	61	174
26	61	166
27	61	158
28	61	151
29	62	144
30	62	138
31	62	132
32	62	126
33	62	121
34	63	117
35	63	112
36	63	108
37	63	103
38	63	99
39	64	96
40	64	92
41	64	88
42	64	85
43	64	82
44	64	79
45	65	76
46	65	73
47	65	70
48	65	68
49	65	65
50	65	63
51	66	60
52	66	58
53	66	56
54	66	54
55	67	53
56	67	51
57	67	49
58	67	47
59	68	45
60	68	43
61	68	41
62	68	40
63	68	38
64	68	36
65	68	35
66	68	33
67	69	32
68	69	31
69	69	29
70	69	28
71	69	27
72	69	25
73	69	24
74	69	23
75	70	22
76	70	20
77	70	19
78	70	18
79	70	17
80	70	16
81	70	15
82	71	14
83	71	13
84	71	12
85	71	11
86	71	10
87	71	9
88	71	8
89	71	7
90	72	7
91	72	6
92	72	5
93	72	4
94	72	3
95	72	3
96	72	2
97	73	1
98	73	0
99	73	0
